engine,query,tags,platform,python,cpu_count,memory_total_mb,count,mean_ms,stdev_ms,min_ms,max_ms,p50_ms,p95_ms,p99_ms,errors,expect_failures,dataset,variant,run_dir
kuzu_local,deep_traversal_5hop,"deep,traversal",Linux-6.6.97+-x86_64-with-glibc2.36,3.11.2,96,386939.973,30,46.914,1.004,45.488,49.095,46.842,48.598,48.959,0,0,cs,index,graphrag_eval_v1_cs_index_20260216_044509
lance_graph_local,hybrid_search,"hybrid,vector,traversal",Linux-6.6.97+-x86_64-with-glibc2.36,3.11.2,96,386939.973,30,8.309,0.127,8.099,8.757,8.310,8.449,8.669,0,0,cs,index,graphrag_eval_v1_cs_index_20260216_044509
lance_graph_local,local_search_2hop,"local,traversal",Linux-6.6.97+-x86_64-with-glibc2.36,3.11.2,96,386939.973,30,11.818,0.695,10.510,13.761,11.638,13.058,13.616,0,0,cs,index,graphrag_eval_v1_cs_index_20260216_044509
lance_graph_local,global_search,"global,aggregation",Linux-6.6.97+-x86_64-with-glibc2.36,3.11.2,96,386939.973,30,1.299,0.044,1.218,1.396,1.303,1.366,1.389,0,0,cs,index,graphrag_eval_v1_cs_index_20260216_044509
lance_graph_local,deep_traversal_5hop,"deep,traversal",Linux-6.6.97+-x86_64-with-glibc2.36,3.11.2,96,386939.973,30,37.154,2.636,32.140,41.968,37.227,40.645,41.612,0,0,cs,index,graphrag_eval_v1_cs_index_20260216_044509
neo4j_local,hybrid_search,"hybrid,vector,traversal",Linux-6.6.97+-x86_64-with-glibc2.36,3.11.2,96,386939.973,30,4.350,2.893,2.237,14.095,3.330,11.926,13.547,0,0,cs,no,graphrag_eval_v1_cs_no_index_20260216_044532
neo4j_local,local_search_2hop,"local,traversal",Linux-6.6.97+-x86_64-with-glibc2.36,3.11.2,96,386939.973,30,11.552,1.191,10.287,14.175,10.948,14.043,14.167,0,0,cs,no,graphrag_eval_v1_cs_no_index_20260216_044532
neo4j_local,global_search,"global,aggregation",Linux-6.6.97+-x86_64-with-glibc2.36,3.11.2,96,386939.973,30,2.879,0.568,2.346,4.881,2.755,4.188,4.726,0,0,cs,no,graphrag_eval_v1_cs_no_index_20260216_044532
neo4j_local,deep_traversal_5hop,"deep,traversal",Linux-6.6.97+-x86_64-with-glibc2.36,3.11.2,96,386939.973,30,24.508,0.884,23.726,27.238,24.197,26.425,27.141,0,0,cs,no,graphrag_eval_v1_cs_no_index_20260216_044532
kuzu_local,hybrid_search,"hybrid,vector,traversal",Linux-6.6.97+-x86_64-with-glibc2.36,3.11.2,96,386939.973,30,1.921,0.384,1.587,3.848,1.869,2.105,3.361,0,0,cs,no,graphrag_eval_v1_cs_no_index_20260216_044532
kuzu_local,local_search_2hop,"local,traversal",Linux-6.6.97+-x86_64-with-glibc2.36,3.11.2,96,386939.973,30,7.289,0.431,6.318,9.041,7.301,7.573,8.619,0,0,cs,no,graphrag_eval_v1_cs_no_index_20260216_044532
kuzu_local,global_search,"global,aggregation",Linux-6.6.97+-x86_64-with-glibc2.36,3.11.2,96,386939.973,30,2.781,1.045,1.314,4.045,3.223,3.959,4.033,0,0,cs,no,graphrag_eval_v1_cs_no_index_20260216_044532
kuzu_local,deep_traversal_5hop,"deep,traversal",Linux-6.6.97+-x86_64-with-glibc2.36,3.11.2,96,386939.973,30,46.951,1.215,44.805,50.564,46.612,48.939,50.144,0,0,cs,no,graphrag_eval_v1_cs_no_index_20260216_044532
lance_graph_local,hybrid_search,"hybrid,vector,traversal",Linux-6.6.97+-x86_64-with-glibc2.36,3.11.2,96,386939.973,30,42.836,2.248,40.660,49.511,41.920,47.190,49.203,0,0,cs,no,graphrag_eval_v1_cs_no_index_20260216_044532
lance_graph_local,local_search_2hop,"local,traversal",Linux-6.6.97+-x86_64-with-glibc2.36,3.11.2,96,386939.973,30,11.455,0.473,10.492,12.622,11.465,12.174,12.528,0,0,cs,no,graphrag_eval_v1_cs_no_index_20260216_044532
lance_graph_local,global_search,"global,aggregation",Linux-6.6.97+-x86_64-with-glibc2.36,3.11.2,96,386939.973,30,1.297,0.043,1.205,1.394,1.302,1.378,1.392,0,0,cs,no,graphrag_eval_v1_cs_no_index_20260216_044532
lance_graph_local,deep_traversal_5hop,"deep,traversal",Linux-6.6.97+-x86_64-with-glibc2.36,3.11.2,96,386939.973,30,37.519,2.234,32.425,42.449,37.840,39.958,41.749,0,0,cs,no,graphrag_eval_v1_cs_no_index_20260216_044532
